prompt,completion
"Generate a name for a fire halberd with the following properties: legendary, ancient, cursed",The Kraken Katana
Write a description for a weapon called 'The Kraken Katana',"A halberd of ancient wisdom, leaves wounds that never heal upon its enemies. The weapon radiates heat and occasionally bursts into flames."
Generate a fantasy weapon of type: halberd,"Name: The Kraken Katana
Damage Type: Fire
Damage: 1d12
Properties: Legendary, Ancient, Cursed
Description: A halberd of ancient wisdom, leaves wounds that never heal upon its enemies. The weapon radiates heat and occasionally bursts into flames."
Generate a name for a wind shortbow with the following properties: spectral,Trident of deadly precision
Write a description for a weapon called 'Trident of deadly precision',"A shortbow pulled from the heart of a volcano, it reveals invisible creatures with every strike."
Generate a fantasy weapon of type: shortbow,"Name: Trident of deadly precision
Damage Type: Wind
Damage: 1d12
Properties: Spectral
Description: A shortbow pulled from the heart of a volcano, it reveals invisible creatures with every strike."
Generate a name for a wind spear with the following properties: legendary,Bow of Judgment
Write a description for a weapon called 'Bow of Judgment',"Forged in the depths of the Shadow Realm, this spear seems to predict its wielder's thoughts."
Generate a fantasy weapon of type: spear,"Name: Bow of Judgment
Damage Type: Wind
Damage: 2d10
Properties: Legendary
Description: Forged in the depths of the Shadow Realm, this spear seems to predict its wielder's thoughts."
Generate a name for a force claymore with the following properties: vampiric,The Serpent Claymore
Write a description for a weapon called 'The Serpent Claymore',"Wielded long ago by King Thoran, this claymore never misses its target."
Generate a fantasy weapon of type: claymore,"Name: The Serpent Claymore
Damage Type: Force
Damage: 1d6
Properties: Vampiric
Description: Wielded long ago by King Thoran, this claymore never misses its target."
"Generate a name for a lightning katana with the following properties: cursed, spectral, vorpal",The Kraken Longsword
Write a description for a weapon called 'The Kraken Longsword',"A katana of terrifying presence, creates illusions to confuse foes upon its enemies."
Generate a fantasy weapon of type: katana,"Name: The Kraken Longsword
Damage Type: Lightning
Damage: 3d4
Properties: Cursed, Spectral, Vorpal
Description: A katana of terrifying presence, creates illusions to confuse foes upon its enemies."
"Generate a name for a radiant greataxe with the following properties: enchanted, mythical, corrupted",The Ancient Glaive
Write a description for a weapon called 'The Ancient Glaive',"Said to have belonged to the Twilight Assassin, this greataxe protects against dark magic."
Generate a fantasy weapon of type: greataxe,"Name: The Ancient Glaive
Damage Type: Radiant
Damage: 2d8
Properties: Enchanted, Mythical, Corrupted
Description: Said to have belonged to the Twilight Assassin, this greataxe protects against dark magic."
"Generate a name for a chaos wand with the following properties: cursed, balanced",Saber of unparalleled balance
Write a description for a weapon called 'Saber of unparalleled balance',"King Thoran's favored wand, known to leaves trails of elemental energy."
Generate a fantasy weapon of type: wand,"Name: Saber of unparalleled balance
Damage Type: Chaos
Damage: 2d6
Properties: Cursed, Balanced
Description: King Thoran's favored wand, known to leaves trails of elemental energy."
Generate a name for a nature dagger with the following properties: soulbound,Ghost Hammer of Despair
Write a description for a weapon called 'Ghost Hammer of Despair',"This dagger hums an ancient melody, making it mysterious origins."
Generate a fantasy weapon of type: dagger,"Name: Ghost Hammer of Despair
Damage Type: Nature
Damage: 2d6
Properties: Soulbound
Description: This dagger hums an ancient melody, making it mysterious origins."
"Generate a name for a radiant flail with the following properties: balanced, soulbound, vampiric",Whip of the Ancients
Write a description for a weapon called 'Whip of the Ancients',"Said to have belonged to High Priestess Lunara, this flail never misses its target."
Generate a fantasy weapon of type: flail,"Name: Whip of the Ancients
Damage Type: Radiant
Damage: 1d12
Properties: Balanced, Soulbound, Vampiric
Description: Said to have belonged to High Priestess Lunara, this flail never misses its target."
Generate a name for a psychic staff with the following properties: ,Radiant Greatsword of Power
Write a description for a weapon called 'Radiant Greatsword of Power',Legend says this staff was born from the tears of a goddess. It summons spectral allies in battle.
Generate a fantasy weapon of type: staff,"Name: Radiant Greatsword of Power
Damage Type: Psychic
Damage: 2d12
Properties: 
Description: Legend says this staff was born from the tears of a goddess. It summons spectral allies in battle."
Generate a name for a psychic scythe with the following properties: spectral,Crossbow of terrifying presence
Write a description for a weapon called 'Crossbow of terrifying presence',"When during a storm, this scythe instills fear in enemies."
Generate a fantasy weapon of type: scythe,"Name: Crossbow of terrifying presence
Damage Type: Psychic
Damage: 3d4
Properties: Spectral
Description: When during a storm, this scythe instills fear in enemies."
Generate a name for a radiant bow with the following properties: ethereal,Mace of deadly precision
Write a description for a weapon called 'Mace of deadly precision',"Forged in the depths of the Eternal Forge, this bow whispers dark secrets."
Generate a fantasy weapon of type: bow,"Name: Mace of deadly precision
Damage Type: Radiant
Damage: 1d12
Properties: Ethereal
Description: Forged in the depths of the Eternal Forge, this bow whispers dark secrets."
Generate a name for a wind wand with the following properties: mythical,Greatsword of Dragons
Write a description for a weapon called 'Greatsword of Dragons',"A wand of divine blessing, causes foes to flee in terror upon its enemies."
Generate a fantasy weapon of type: wand,"Name: Greatsword of Dragons
Damage Type: Wind
Damage: 3d10
Properties: Mythical
Description: A wand of divine blessing, causes foes to flee in terror upon its enemies."
"Generate a name for a shadow rapier with the following properties: sentient, blessed, ancient",Onyx Shortbow
Write a description for a weapon called 'Onyx Shortbow',"This rapier freezes the air around it, making it boundless rage. The weapon seems to absorb light from its surroundings."
Generate a fantasy weapon of type: rapier,"Name: Onyx Shortbow
Damage Type: Shadow
Damage: 2d6
Properties: Sentient, Blessed, Ancient
Description: This rapier freezes the air around it, making it boundless rage. The weapon seems to absorb light from its surroundings."
Generate a name for a fire spear with the following properties: elemental,Bow of the Ancients
Write a description for a weapon called 'Bow of the Ancients',"When held by a true hero, this spear instills fear in enemies. The weapon radiates heat and occasionally bursts into flames."
Generate a fantasy weapon of type: spear,"Name: Bow of the Ancients
Damage Type: Fire
Damage: 2d4
Properties: Elemental
Description: When held by a true hero, this spear instills fear in enemies. The weapon radiates heat and occasionally bursts into flames."
"Generate a name for a radiant blade with the following properties: elemental, sharpened, spectral",The Nova Longsword
Write a description for a weapon called 'The Nova Longsword',"A blade of mysterious origins, grows in power during the night upon its enemies."
Generate a fantasy weapon of type: blade,"Name: The Nova Longsword
Damage Type: Radiant
Damage: 2d4
Properties: Elemental, Sharpened, Spectral
Description: A blade of mysterious origins, grows in power during the night upon its enemies."
"Generate a name for a shadow trident with the following properties: elemental, runic, spectral",Crossbow of demonic corruption
Write a description for a weapon called 'Crossbow of demonic corruption',Legend says this trident was made from the bones of a god. It drains the magic from spellcasters. The weapon seems to absorb light from its surroundings.
Generate a fantasy weapon of type: trident,"Name: Crossbow of demonic corruption
Damage Type: Shadow
Damage: 2d10
Properties: Elemental, Runic, Spectral
Description: Legend says this trident was made from the bones of a god. It drains the magic from spellcasters. The weapon seems to absorb light from its surroundings."
